	delta	method	power
0	0.2	angle	1.0
1	0.4	angle	0.996
2	0.6	angle	0.734
3	0.8	angle	0.196
4	1.0	angle	0.058
5	1.2	angle	0.148
6	1.4	angle	0.392
7	1.6	angle	0.65
8	0.2	ball	1.0
9	0.4	ball	0.984
10	0.6	ball	0.628
11	0.8	ball	0.146
12	1.0	ball	0.07
13	1.2	ball	0.108
14	1.4	ball	0.306
15	1.6	ball	0.562
16	0.2	graph	0.996
17	0.4	graph	0.852
18	0.6	graph	0.344
19	0.8	graph	0.102
20	1.0	graph	0.07
21	1.2	graph	0.078
22	1.4	graph	0.174
23	1.6	graph	0.302
24	0.2	energy	1.0
25	0.4	energy	0.91
26	0.6	energy	0.294
27	0.8	energy	0.072
28	1.0	energy	0.044
29	1.2	energy	0.06
30	1.4	energy	0.124
31	1.6	energy	0.306
